0,0.021412737430167594
1,0.027767262569832387
2,0.03008472067039106
3,0.03115863128491621
4,0.03246013966480448
5,0.034687653631284905
6,0.03656918994413407
7,0.038483659217877116
8,0.03998977653631285
9,0.040904999999999976
10,0.04165857541899437
11,0.0420499162011173
12,0.04264396648044688
13,0.04269684357541904
14,0.0427603631284916
15,0.04255960893854744
16,0.04250927374301677
17,0.042610363128491646
18,0.04289793296089386
19,0.042747458100558695
20,0.042740530726257026
21,0.042690055865921804
22,0.042462960893854776
23,0.042508938547486025
24,0.04249273743016761
