0,0.6614741320050629
1,0.5824831744146081
2,0.544432656059052
3,0.5175619285199895
4,0.4942575380122861
5,0.47026044962792424
6,0.4432650944374127
7,0.4126900188083755
8,0.37994994264741183
9,0.3472763572991227
10,0.31722008049821054
11,0.29052512738957753
12,0.26570446930784086
13,0.24366743204979924
14,0.22404320146784437
15,0.20686975404536923
16,0.19124607533715957
17,0.1769918409805724
18,0.1640971199760224
19,0.15233965825768156
20,0.14224962415641912
21,0.1329373407630281
22,0.12401543516020536
23,0.11659471948719557
24,0.10968228558588294
